,Буллиты,Дата,Команда_1,Команда_2,Номер,Овертайм,Период_1,Период_2,Период_3
0,:,2014-09-03,Металлург Мг,Динамо Мск,1,:,3:1,2:0,1:0
1,:,2014-09-04,Амур,Адмирал,2,:,1:2,2:1,2:1
2,:,2014-09-04,Авангард,Металлург Нк,3,:,0:0,0:1,0:0
3,:,2014-09-04,Барыс,Салават Юлаев,4,:,3:0,0:4,2:0
4,:,2014-09-04,Ак Барс,Автомобилист,5,:,0:0,3:1,0:1
5,:,2014-09-04,Лада,Югра,6,:,1:1,0:1,1:3
6,:,2014-09-04,Нефтехимик,Трактор,7,:,2:0,1:0,1:1
7,:,2014-09-04,Северсталь,Торпедо НН,8,:,0:0,0:0,0:2
8,:,2014-09-04,СКА,Локомотив,9,:,2:2,2:1,1:0
9,:,2014-09-04,Йокерит,Динамо Мн,10,0:1,1:1,1:1,2:2
10,:,2014-09-04,Слован,Медвешчак,11,:,2:0,1:1,2:1
11,:,2014-09-05,Динамо Мск,ЦСКА,12,:,1:2,0:1,0:1
12,:,2014-09-06,Авангард,Адмирал,13,:,1:0,2:1,1:1
13,:,2014-09-06,Сибирь,Металлург Нк,14,:,3:0,2:1,1:0
14,:,2014-09-06,Автомобилист,Медвешчак,15,:,0:1,2:1,1:0
15,1:0,2014-09-06,Барыс,Амур,16,0:0,1:0,1:2,0:0
16,:,2014-09-06,Металлург Мг,Слован,17,:,1:2,1:0,0:1
17,:,2014-09-06,Салават Юлаев,Витязь,18,:,2:1,0:0,4:0
18,:,2014-09-06,Ак Барс,Атлант,19,:,0:1,0:1,1:2
19,:,2014-09-06,Северсталь,Трактор,20,:,2:2,0:0,0:1
20,:,2014-09-06,Торпедо НН,Югра,21,:,1:0,0:1,0:2
21,:,2014-09-06,СКА,ХК Сочи,22,:,0:1,2:0,1:1
22,:,2014-09-06,Динамо Р,Динамо Мн,23,:,0:1,1:0,3:1
23,:,2014-09-06,Йокерит,Локомотив,24,:,1:1,2:0,0:1
24,:,2014-09-08,Авангард,Витязь,25,:,2:4,2:1,4:0
25,:,2014-09-08,Автомобилист,Слован,26,:,0:0,1:1,0:2
26,:,2014-09-08,Барыс,Адмирал,27,:,3:0,0:0,1:0
27,:,2014-09-08,Металлург Мг,Атлант,28,:,1:0,0:1,3:0
28,:,2014-09-08,Салават Юлаев,Амур,29,:,0:2,0:1,3:2
29,:,2014-09-08,Ак Барс,Медвешчак,30,:,1:0,2:0,1:2
